birdwatcher_id,age,favorite_bird,lens_size,repeat_experience,date
1,35,sparrows,8,1,2023-02-10
2,41,woodpecker,8,0,2023-11-18
3,60,woddpecker,8,1,2023-08-06
4,91,hummingbird,8,1,2023-08-04
5,64,hummingbird,10,1,2023-08-22
6,83,hummingbird,8,0,2023-09-08
7,21,hummingbrid,10,0,2023-04-07
8,81,sparrow,8,0,2023-03-25
9,49,sparrow,7,1,2023-11-23
10,56,sparrow,7,0,2023-02-04
11,30,hummingbird,7,1,2023-07-23
12,81,woodpecker,8,0,2023-01-06
13,75,woodpecker,10,1,2023-06-13
14,72,huminggbird,10,1,2023-05-08
15,89,hummingbird,7,1,2023-12-09
16,75,woodpecker,10,0,2023-11-16
17,18,sparrow,7,0,2023-11-04
18,76,hummingbird,7,0,2023-11-05
19,44,huminggbird,8,0,2023-09-21
20,41,hummingbird,10,1,2023-12-16
21,21,hummingbird,8,1,2023-02-26
22,98,hummingbird,8,0,2023-12-11
23,24,sperrow,7,1,2023-04-19
24,44,hummingbird,7,0,2023-10-03
25,77,sparrow,10,1,2023-11-11
26,72,sparrow,7,1,2023-07-23
27,73,woodpecker,8,0,2023-12-24
28,58,hummingbird,7,1,2023-12-13
29,94,hummingbird,10,0,2023-11-21
30,44,hummingbird,8,0,2023-09-28
31,46,woodpecker,10,0,2023-07-26
32,25,woodpecker,7,1,2023-04-08
33,71,sparrow,8,0,2023-05-04
34,43,hummingbird,8,0,2023-05-03
35,103,hummingbird,10,1,2023-02-03
36,83,hummingbird,7,0,2023-06-24
37,20,woodpecker,10,0,2023-10-07
38,82,huminggbird,8,1,2023-12-04
39,76,woodpecker,7,1,2023-10-12
40,56,hummingbird,10,1,2023-03-28
41,79,sparrow,7,1,2023-06-13
42,39,hummingbird,7,0,2023-10-24
43,29,hummingbird,8,1,2023-01-10
44,30,woodpecker,10,1,2023-01-19
45,18,sparrow,8,1,2023-09-07
46,23,hummingbird,8,1,2023-07-14
47,80,woodpecker,10,1,2023-06-25
48,23,woodpecker,8,1,2023-06-26
49,63,woodpecker,10,1,2023-11-26
50,92,sparrow,8,0,2023-03-17
51,75,woodpecker,7,0,2023-11-20
52,51,huminggbird,7,0,2023-10-08
53,45,sparrows,8,0,2023-02-13
54,100,woodpecker,8,1,2023-01-18
55,92,woodpecker,8,1,2023-08-11
56,29,huminggbird,8,1,2023-03-27
57,96,hummingbird,7,1,2023-05-27
58,78,woodpecker,8,0,2023-04-16
59,29,hummingbird,10,0,2023-11-15
60,70,hummingbird,7,1,2023-03-20
61,24,sparrow,10,0,2023-05-05
62,81,sparrow,10,0,2023-12-22
63,100,sparrow,8,0,2023-12-02
64,79,sparrow,10,1,2023-10-11
65,18,woodpecker,10,0,2023-05-17
66,22,sparrow,7,1,2023-12-04
67,72,woodpecker,10,1,2023-05-28
68,48,woodpecker,10,0,2023-12-19
69,27,hummingbird,8,1,2023-08-21
70,55,sparrow,7,0,2023-04-16
71,69,huminggbird,8,0,2023-05-23
72,73,sparrow,10,1,2023-07-02
73,66,woodpecker,10,0,2023-06-05
74,54,hummingbird,8,1,2023-12-07
75,78,woodpecker,7,1,2023-12-26
76,19,sparrow,10,0,2023-04-23
77,81,sparrow,7,1,2023-12-02
78,31,woodpecker,7,0,2023-03-28
79,53,hummingbird,10,0,2023-08-24
80,21,sparrow,8,1,2023-07-10
81,33,sparrow,10,1,2023-11-28
82,96,woodpecker,7,0,2023-03-01
83,97,sparrow,8,0,2023-09-13
84,69,hummingbird,7,0,2023-06-14
85,96,spaarow,10,1,2023-11-16
86,65,sparrow,8,0,2023-06-25
87,48,woodpecker,10,1,2023-07-13
88,101,spaarow,8,1,2023-02-17
89,72,hummingbird,10,1,2023-12-10
90,31,woodpecker,7,0,2023-05-23
91,83,hummingbird,7,0,2023-04-23
92,38,woodpecker,8,0,2023-09-13
93,21,wodopecker,10,1,2023-02-05
94,53,woodpecker,7,0,2023-06-25
95,82,hummingbird,7,0,2023-10-28
96,82,woodpecker,8,1,2023-01-28
97,105,woodpecker,8,1,2023-12-10
98,90,woodpecker,8,0,2023-08-21
99,68,woodpecker,7,1,2023-03-19
100,51,hummingbird,8,0,2023-03-15
101,30,hummingbird,10,0,2023-12-16
102,18,sparrow,10,0,2023-05-05
103,78,hummingbird,7,0,2023-04-07
104,19,woodpecker,10,1,2023-12-07
105,49,sparrow,8,0,2023-12-21
106,87,woodpecker,8,0,2023-01-12
107,18,wodopecker,8,0,2023-12-28
108,39,hummingbird,7,0,2023-10-04
109,66,woodpecker,7,0,2023-11-26
110,94,sparrow,8,1,2023-03-13
111,97,hummingbird,10,1,2023-07-22
112,62,woodpecker,10,0,2023-03-02
113,102,hummingbird,7,0,2023-02-12
114,26,hummingbird,8,0,2023-08-06
115,85,sparrows,7,0,2023-01-04
116,97,hummingbird,8,1,2023-09-21
117,95,wodopecker,10,0,2023-06-19
118,41,woodpecker,8,0,2023-07-05
119,95,hummingbird,7,0,2023-11-24
120,105,sparrow,10,1,2023-07-08
121,99,hummingbird,7,0,2023-01-04
122,89,woodpecker,8,1,2023-04-13
123,59,sparrow,8,0,2023-08-10
124,42,sparrow,8,0,2023-12-20
125,60,woodpecker,10,0,2023-03-21
126,31,woodpecker,7,0,2023-12-13
127,71,hummingbird,7,0,2023-12-26
128,28,hummingbird,10,0,2023-11-22
129,69,hummingbird,7,1,2023-02-25
130,21,hummingbird,7,0,2023-08-28
131,79,woodpecker,7,0,2023-11-13
132,75,hummingbird,8,0,2023-05-21
133,30,woodpecker,10,1,2023-11-15
134,55,woodpecker,8,1,2023-06-01
135,100,woodpecker,7,1,2023-02-04
136,38,hummingbird,10,1,2023-02-04
137,40,woodpecker,8,0,2023-08-21
138,61,hummingbird,7,0,2023-11-17
139,99,hummingbird,10,0,2023-04-01
140,104,hummingbird,7,1,2023-10-19
141,91,woodpecker,10,1,2023-10-16
142,92,woodpecker,7,1,2023-05-23
143,99,hummingbird,7,1,2023-12-04
144,40,sparrow,7,0,2023-10-06
145,57,hummingbird,8,1,2023-07-16
146,54,sparrow,10,0,2023-11-23
147,71,hummingbird,7,1,2023-07-10
148,66,sparrows,10,1,2023-10-05
149,27,woodpecker,8,1,2023-02-11
150,58,woodpecker,7,0,2023-02-23
151,91,sparrow,7,0,2023-09-06
152,88,sparrow,8,0,2023-07-27
153,71,hummingbird,7,0,2023-12-01
154,54,sparrow,10,1,2023-07-18
155,35,woodpecker,7,0,2023-09-26
156,57,hummingbird,7,0,2023-09-16
157,88,sparrow,8,0,2023-02-17
158,18,sparrow,10,1,2023-10-18
159,50,sparrow,7,1,2023-12-27
160,41,sparrow,10,1,2023-11-04
161,96,hummingbird,7,1,2023-04-22
162,56,woodpecker,10,0,2023-02-06
