long,lat,group,order,region,subregion
-64.549163818359375,-54.71621322631836,1,1,Argentina,Isla de los Estados
-64.4388198852539,-54.739356994628906,1,2,Argentina,Isla de los Estados
-64.22050476074219,-54.72197341918945,1,3,Argentina,Isla de los Estados
-64.1053237915039,-54.7216796875,1,4,Argentina,Isla de los Estados
-64.054931640625,-54.729881286621094,1,5,Argentina,Isla de los Estados
-64.03242492675781,-54.74238204956055,1,6,Argentina,Isla de los Estados
-63.88193130493164,-54.72294998168945,1,7,Argentina,Isla de los Estados
-63.815425872802734,-54.72509765625,1,8,Argentina,Isla de los Estados
-63.83257293701172,-54.767967224121094,1,9,Argentina,Isla de los Estados
-63.97123718261719,-54.810646057128906,1,10,Argentina,Isla de los Estados
-64.0283203125,-54.79257583618164,1,11,Argentina,Isla de los Estados
-64.322906494140625,-54.79648208618164,1,12,Argentina,Isla de los Estados
-64.4532699584961,-54.84033203125,1,13,Argentina,Isla de los Estados
-64.5086898803711,-54.83993911743164,1,14,Argentina,Isla de los Estados
-64.6373519897461,-54.90253829956055,1,15,Argentina,Isla de los Estados
-64.7314453125,-54.86298751831055,1,16,Argentina,Isla de los Estados
-64.75732421875,-54.82656478881836,1,17,Argentina,Isla de los Estados
-64.689208984375,-54.77470397949219,1,18,Argentina,Isla de los Estados
-64.6250991821289,-54.77363204956055,1,19,Argentina,Isla de los Estados
-64.58134460449219,-54.75273132324219,1,20,Argentina,Isla de los Estados
-64.549163818359375,-54.71621322631836,1,21,Argentina,Isla de los Estados
-68.6532211303711,-54.853614807128906,2,23,Argentina,Tierra del Fuego
-68.64751434326172,-54.62783432006836,2,24,Argentina,Tierra del Fuego
-68.6397933959961,-54.32402038574219,2,25,Argentina,Tierra del Fuego
-68.63822937011719,-54.05292892456055,2,26,Argentina,Tierra del Fuego
-68.63667297363281,-53.78886795043945,2,27,Argentina,Tierra del Fuego
-68.63506317138672,-53.51543045043945,2,28,Argentina,Tierra del Fuego
-68.633453369140625,-53.24189376831055,2,29,Argentina,Tierra del Fuego
-68.6316909790039,-52.94951248168945,2,30,Argentina,Tierra del Fuego
-68.62992858886719,-52.65263748168945,2,31,Argentina,Tierra del Fuego
-68.5711898803711,-52.694923400878906,2,32,Argentina,Tierra del Fuego
-68.3387680053711,-52.90009689331055,2,33,Argentina,Tierra del Fuego
-68.278228759765625,-52.98398208618164,2,34,Argentina,Tierra del Fuego
-68.240142822265625,-53.08183670043945,2,35,Argentina,Tierra del Fuego
-68.3330078125,-53.019630432128906,2,36,Argentina,Tierra del Fuego
-68.43115234375,-53.055274963378906,2,37,Argentina,Tierra del Fuego
-68.4794921875,-53.11376953125,2,38,Argentina,Tierra del Fuego
-68.52079772949219,-53.17724609375,2,39,Argentina,Tierra del Fuego
-68.5205078125,-53.22187423706055,2,40,Argentina,Tierra del Fuego
-68.488525390625,-53.26093673706055,2,41,Argentina,Tierra del Fuego
-68.39311218261719,-53.294921875,2,42,Argentina,Tierra del Fuego
-68.1611328125,-53.30644226074219,2,43,Argentina,Tierra del Fuego
-68.14409637451172,-53.31904220581055,2,44,Argentina,Tierra del Fuego
-68.00849151611328,-53.56406021118164,2,45,Argentina,Tierra del Fuego
-67.9402847290039,-53.618751525878906,2,46,Argentina,Tierra del Fuego
-67.861083984375,-53.662208557128906,2,47,Argentina,Tierra del Fuego
-67.6781234741211,-53.787109375,2,48,Argentina,Tierra del Fuego
-67.5025863647461,-53.921974182128906,2,49,Argentina,Tierra del Fuego
-67.29424285888672,-54.0498046875,2,50,Argentina,Tierra del Fuego
-67.0694808959961,-54.14804458618164,2,51,Argentina,Tierra del Fuego
-66.8651351928711,-54.22256088256836,2,52,Argentina,Tierra del Fuego
-66.670074462890625,-54.313575744628906,2,53,Argentina,Tierra del Fuego
-66.4620132446289,-54.441017150878906,2,54,Argentina,Tierra del Fuego
-66.23564147949219,-54.53349685668945,2,55,Argentina,Tierra del Fuego
-65.9925765991211,-54.59892654418945,2,56,Argentina,Tierra del Fuego
-65.7470703125,-54.653419494628906,2,57,Argentina,Tierra del Fuego
-65.3692855834961,-54.63212966918945,2,58,Argentina,Tierra del Fuego
-65.251953125,-54.638084411621094,2,59,Argentina,Tierra del Fuego
-65.17900848388672,-54.67812728881836,2,60,Argentina,Tierra del Fuego
-65.2523422241211,-54.78886795043945,2,61,Argentina,Tierra del Fuego
-65.34600067138672,-54.8779296875,2,62,Argentina,Tierra del Fuego
-65.47113800048828,-54.914649963378906,2,63,Argentina,Tierra del Fuego
-65.60331726074219,-54.928123474121094,2,64,Argentina,Tierra del Fuego
-65.722747802734375,-54.92636489868164,2,65,Argentina,Tierra del Fuego
-65.84199523925781,-54.90996170043945,2,66,Argentina,Tierra del Fuego
-65.9537582397461,-54.919334411621094,2,67,Argentina,Tierra del Fuego
-66.0606460571289,-54.95673751831055,2,68,Argentina,Tierra del Fuego
-66.1720199584961,-54.97529602050781,2,69,Argentina,Tierra del Fuego
-66.2867660522461,-54.97773361206055,2,70,Argentina,Tierra del Fuego
-66.398681640625,-55.00937271118164,2,71,Argentina,Tierra del Fuego
-66.5111312866211,-55.032127380371094,2,72,Argentina,Tierra del Fuego
-66.627685546875,-55.01327896118164,2,73,Argentina,Tierra del Fuego
-66.93047332763672,-54.92490005493164,2,74,Argentina,Tierra del Fuego
-67.1270980834961,-54.90380859375,2,75,Argentina,Tierra del Fuego
-67.79325866699219,-54.86865234375,2,76,Argentina,Tierra del Fuego
-68.00712585449219,-54.84843826293945,2,77,Argentina,Tierra del Fuego
-68.2201156616211,-54.81757736206055,2,78,Argentina,Tierra del Fuego
-68.331695556640625,-54.816307067871094,2,79,Argentina,Tierra del Fuego
-68.49101257324219,-54.83623123168945,2,80,Argentina,Tierra del Fuego
-68.61865234375,-54.83378982543945,2,81,Argentina,Tierra del Fuego
-68.6532211303711,-54.853614807128906,2,82,Argentina,Tierra del Fuego
-61.87578201293945,-39.171875,3,84,Argentina,Isla Trinidad
-61.865966796875,-39.23486328125,3,85,Argentina,Isla Trinidad
-61.91801452636719,-39.22744369506836,3,86,Argentina,Isla Trinidad
-62.04159927368164,-39.166893005371094,3,87,Argentina,Isla Trinidad
-62.08329772949219,-39.11015319824219,3,88,Argentina,Isla Trinidad
-62.093017578125,-39.08622741699219,3,89,Argentina,Isla Trinidad
-61.966651916503906,-39.11220932006836,3,90,Argentina,Isla Trinidad
-61.907127380371094,-39.13564682006836,3,91,Argentina,Isla Trinidad
-61.87578201293945,-39.171875,3,92,Argentina,Isla Trinidad
-62.65097427368164,-22.233692169189453,4,94,Argentina,NA
-62.62568283081055,-22.26152229309082,4,95,Argentina,NA
-62.6259765625,-22.290430068969727,4,96,Argentina,NA
-62.54154968261719,-22.349609375,4,97,Argentina,NA
-62.37250900268555,-22.43916130065918,4,98,Argentina,NA
-62.21415710449219,-22.612401962280273,4,99,Argentina,NA
