long,lat,group,order,region,subregion
-69.89912414550781,12.452001571655273,1,1,Aruba,NA
-69.89570617675781,12.422998428344727,1,2,Aruba,NA
-69.94219207763672,12.438525199890137,1,3,Aruba,NA
-70.004150390625,12.50048828125,1,4,Aruba,NA
-70.06611633300781,12.546972274780273,1,5,Aruba,NA
-70.0508804321289,12.59706974029541,1,6,Aruba,NA
-70.03511047363281,12.614110946655273,1,7,Aruba,NA
-69.97314453125,12.567626953125,1,8,Aruba,NA
-69.91181182861328,12.48046875,1,9,Aruba,NA
-69.89912414550781,12.452001571655273,1,10,Aruba,NA
-73.02685546875,21.1923828125,2,12,Bahamas,Great Inagua Island
-73.058746337890625,21.119041442871094,2,13,Bahamas,Great Inagua Island
-73.16455078125,20.979148864746094,2,14,Bahamas,Great Inagua Island
-73.4007797241211,20.94389533996582,2,15,Bahamas,Great Inagua Island
-73.6610336303711,20.937402725219727,2,16,Bahamas,Great Inagua Island
-73.68115234375,20.9755859375,2,17,Bahamas,Great Inagua Island
-73.68682098388672,21.009130477905273,2,18,Bahamas,Great Inagua Island
-73.6678237915039,21.06157112121582,2,19,Bahamas,Great Inagua Island
-73.6695785522461,21.08222770690918,2,20,Bahamas,Great Inagua Island
-73.68037414550781,21.103321075439453,2,21,Bahamas,Great Inagua Island
-73.5850601196289,21.12592887878418,2,22,Bahamas,Great Inagua Island
-73.5230941772461,21.190820693969727,2,23,Bahamas,Great Inagua Island
-73.42451477050781,21.201757431030273,2,24,Bahamas,Great Inagua Island
-73.30155944824219,21.156152725219727,2,25,Bahamas,Great Inagua Island
-73.2353515625,21.15449333190918,2,26,Bahamas,Great Inagua Island
-73.1373062133789,21.204784393310547,2,27,Bahamas,Great Inagua Island
-73.0584945678711,21.313379287719727,2,28,Bahamas,Great Inagua Island
-73.01166534423828,21.299510955810547,2,29,Bahamas,Great Inagua Island
-73.02685546875,21.1923828125,2,30,Bahamas,Great Inagua Island
-72.9161148071289,21.506689071655273,3,32,Bahamas,Little Inagua Island
-73.04931640625,21.457616806030273,3,33,Bahamas,Little Inagua Island
-73.06269836425781,21.515331268310547,3,34,Bahamas,Little Inagua Island
-72.994781494140625,21.561620712280273,3,35,Bahamas,Little Inagua Island
-72.9161148071289,21.506689071655273,3,36,Bahamas,Little Inagua Island
-73.041015625,22.429052352905273,4,38,Bahamas,Mayaguana Island
-72.97895050048828,22.41459846496582,4,39,Bahamas,Mayaguana Island
-72.9452133178711,22.415626525878906,4,40,Bahamas,Mayaguana Island
-72.83076477050781,22.385595321655273,4,41,Bahamas,Mayaguana Island
-72.7625961303711,22.344385147094727,4,42,Bahamas,Mayaguana Island
-72.74726867675781,22.327392578125,4,43,Bahamas,Mayaguana Island
-72.78388977050781,22.290624618530273,4,44,Bahamas,Mayaguana Island
-72.88916015625,22.360252380371094,4,45,Bahamas,Mayaguana Island
-72.9810562133789,22.369237899780273,4,46,Bahamas,Mayaguana Island
-73.1102066040039,22.367578506469727,4,47,Bahamas,Mayaguana Island
-73.16191101074219,22.380712509155273,4,48,Bahamas,Mayaguana Island
-73.12739562988281,22.455322265625,4,49,Bahamas,Mayaguana Island
-73.041015625,22.429052352905273,4,50,Bahamas,Mayaguana Island
-74.20674133300781,22.213769912719727,5,52,Bahamas,Acklins Island
-74.27690887451172,22.183691024780273,5,53,Bahamas,Acklins Island
-74.2613296508789,22.235546112060547,5,54,Bahamas,Acklins Island
-74.12676239013672,22.323389053344727,5,55,Bahamas,Acklins Island
-74.0523452758789,22.400634765625,5,56,Bahamas,Acklins Island
-74.01005554199219,22.427978515625,5,57,Bahamas,Acklins Island
-73.9949722290039,22.44921875,5,58,Bahamas,Acklins Island
-73.93598175048828,22.477733612060547,5,59,Bahamas,Acklins Island
-73.9063949584961,22.527441024780273,5,60,Bahamas,Acklins Island
-73.91455078125,22.568017959594727,5,61,Bahamas,Acklins Island
-73.97636413574219,22.635059356689453,5,62,Bahamas,Acklins Island
-73.975494384765625,22.682275772094727,5,63,Bahamas,Acklins Island
-73.9542007446289,22.715526580810547,5,64,Bahamas,Acklins Island
-73.8499526977539,22.731056213378906,5,65,Bahamas,Acklins Island
-73.87749481201172,22.680761337280273,5,66,Bahamas,Acklins Island
-73.8365249633789,22.538427352905273,5,67,Bahamas,Acklins Island
-73.974609375,22.361181259155273,5,68,Bahamas,Acklins Island
-74.092926025390625,22.306249618530273,5,69,Bahamas,Acklins Island
-74.20674133300781,22.213769912719727,5,70,Bahamas,Acklins Island
-74.0575180053711,22.723485946655273,6,72,Bahamas,Crooked Island
-74.034759521484375,22.70556640625,6,73,Bahamas,Crooked Island
-74.09858703613281,22.665430068969727,6,74,Bahamas,Crooked Island
-74.24223327636719,22.715087890625,6,75,Bahamas,Crooked Island
-74.27461242675781,22.711669921875,6,76,Bahamas,Crooked Island
-74.303131103515625,22.764453887939453,6,77,Bahamas,Crooked Island
-74.31396484375,22.803564071655273,6,78,Bahamas,Crooked Island
-74.3070297241211,22.839599609375,6,79,Bahamas,Crooked Island
-74.22148895263672,22.81157112121582,6,80,Bahamas,Crooked Island
-74.1753921508789,22.759910583496094,6,81,Bahamas,Crooked Island
-74.0575180053711,22.723485946655273,6,82,Bahamas,Crooked Island
-74.8404769897461,22.894336700439453,7,84,Bahamas,Long Island
-74.84687042236328,22.868701934814453,7,85,Bahamas,Long Island
-74.97334289550781,23.068553924560547,7,86,Bahamas,Long Island
-75.13212585449219,23.117090225219727,7,87,Bahamas,Long Island
-75.22333526611328,23.165332794189453,7,88,Bahamas,Long Island
-75.20439147949219,23.192726135253906,7,89,Bahamas,Long Island
-75.14111328125,23.204639434814453,7,90,Bahamas,Long Island
-75.13056182861328,23.267921447753906,7,91,Bahamas,Long Island
-75.1575698852539,23.336376190185547,7,92,Bahamas,Long Island
-75.24126434326172,23.474609375,7,93,Bahamas,Long Island
-75.2882308959961,23.568262100219727,7,94,Bahamas,Long Island
-75.309814453125,23.58984375,7,95,Bahamas,Long Island
-75.31597137451172,23.668359756469727,7,96,Bahamas,Long Island
-75.21660614013672,23.546775817871094,7,97,Bahamas,Long Island
-75.17529296875,23.438671112060547,7,98,Bahamas,Long Island
-75.1087875366211,23.332813262939453,7,99,Bahamas,Long Island
-75.064208984375,23.150196075439453,7,100,Bahamas,Long Island
-74.937103271484375,23.088134765625,7,101,Bahamas,Long Island
-74.845611572265625,22.999902725219727,7,102,Bahamas,Long Island
-74.8404769897461,22.894336700439453,7,103,Bahamas,Long Island
-75.66455078125,23.450145721435547,8,105,Bahamas,Great Exuma Island
-75.70635223388672,23.444238662719727,8,106,Bahamas,Great Exuma Island
-75.781005859375,23.470653533935547,8,107,Bahamas,Great Exuma Island
-75.9559555053711,23.59228515625,8,108,Bahamas,Great Exuma Island
-76.037109375,23.602783203125,8,109,Bahamas,Great Exuma Island
-76.01045227050781,23.67138671875,8,110,Bahamas,Great Exuma Island
-75.9486312866211,23.64741325378418,8,111,Bahamas,Great Exuma Island
-75.8075180053711,23.542530059814453,8,112,Bahamas,Great Exuma Island
-75.7542495727539,23.489990234375,8,113,Bahamas,Great Exuma Island
-75.66455078125,23.450145721435547,8,114,Bahamas,Great Exuma Island
-74.429443359375,24.06806755065918,9,116,Bahamas,San Salvador
-74.5086898803711,23.959716796875,9,117,Bahamas,San Salvador
-74.5509262084961,23.96894645690918,9,118,Bahamas,San Salvador
-74.52690887451172,24.105077743530273,9,119,Bahamas,San Salvador
-74.4720230102539,24.126659393310547,9,120,Bahamas,San Salvador
-74.45049285888672,24.12548828125,9,121,Bahamas,San Salvador
-74.429443359375,24.06806755065918,9,122,Bahamas,San Salvador
-77.65771484375,24.24946403503418,10,124,Bahamas,Andros Island
-77.6561508178711,24.2265625,10,125,Bahamas,Andros Island
-77.755279541015625,24.163476943969727,10,126,Bahamas,Andros Island
-77.6832504272461,24.11845588684082,10,127,Bahamas,Andros Island
-77.6153793334961,24.21635627746582,10,128,Bahamas,Andros Island
-77.5615234375,24.136816024780273,10,129,Bahamas,Andros Island
-77.53202819824219,23.987646102905273,10,130,Bahamas,Andros Island
-77.53681945800781,23.961669921875,10,131,Bahamas,Andros Island
-77.5318832397461,23.93940544128418,10,132,Bahamas,Andros Island
