class,gpa
third-year,3.17948177129851
first-year,3.777823942028848
fourth-year,3.257811397165072
second-year,3.6917454934809943
fourth-year,2.951668416362958
second-year,3.3675511611646427
fourth-year,2.870701905056739
fourth-year,2.9951590564344697
fourth-year,2.3435021248953776
third-year,3.4472556634932396
second-year,3.113709885436194
first-year,3.814231748284292
third-year,3.4132676063272456
second-year,3.3082050150754783
second-year,3.5836619134357757
third-year,3.1196736545783814
first-year,4
first-year,3.71952188595804
fourth-year,2.94826116101032
third-year,3.010401289170422
fourth-year,2.847154987007652
third-year,3.337699286985129
fourth-year,2.930368401318549
first-year,3.6818739571149304
first-year,3.918390251893942
first-year,4
first-year,3.74701245736152
second-year,3.385888892231349
fourth-year,3.027517305356942
first-year,3.9908746563456776
third-year,3.290086241781743
first-year,3.436271952367492
second-year,3.456052419362884
fourth-year,3.026104955691059
second-year,4
fourth-year,3.331287131589398
second-year,3.767133912847784
third-year,3.298934219730466
third-year,3.1831024144558002
fourth-year,2.8830989140260095
second-year,3.435208748707077
second-year,3.4251122874100473
fourth-year,3.0276307606982087
second-year,3.812702065913794
first-year,3.961904741965339
fourth-year,2.9921276379786126
second-year,3.6165802613961175
third-year,3.042867691649982
third-year,3.142075521872999
second-year,3.7831219429260936
second-year,3.836496272599746
second-year,3.6115742296030304
second-year,3.351972922536583
second-year,3.3563419035227846
second-year,3.342961280612166
first-year,3.686710201393145
fourth-year,3.093513801676479
first-year,3.750716922317934
fourth-year,2.6491765419567286
first-year,3.6181838701308218
second-year,3.7835934834900087
first-year,3.807248283150509
third-year,2.9577092992750327
third-year,3.194938588807993
fourth-year,3.5706431227566378
first-year,3.570792050956333
second-year,3.6005718115689707
first-year,3.93184414700152
second-year,3.551451736365329
first-year,3.562124051194097
fourth-year,3.116530660017293
first-year,3.7226837240613344
fourth-year,2.745221237246384
fourth-year,2.74994793649001
third-year,3.1041966369487364
first-year,3.955568896529024
third-year,3.1354673212644433
second-year,3.223818571007346
first-year,3.5501145001001184
fourth-year,2.8721842091376946
second-year,3.722432518085913
third-year,3.148447162166424
third-year,2.5108981373186037
third-year,2.898521843346121
fourth-year,2.951159253056563
fourth-year,3.1257547410719693
third-year,2.8724007451845797
third-year,3.2683039132819967
third-year,3.2039884320531096
first-year,3.880326325650355
first-year,3.959866850092775
first-year,3.3773544383734753
first-year,3.678220003486331
third-year,2.704020754149454
fourth-year,2.752621162901176
second-year,3.1474808212282825
third-year,2.777598502290223
first-year,3.5478317645196267
third-year,3.1319007456122248
first-year,4
