class,gpa
first-year,3.630604613500332
first-year,3.953408205956987
first-year,3.5062265916140016
first-year,3.488461711296405
first-year,4
first-year,3.651993490081673
first-year,3.687851710807323
first-year,4
first-year,3.749164444962595
first-year,3.970246621648075
first-year,3.615155182128003
first-year,3.928960419952928
first-year,4
first-year,3.785831985302966
first-year,3.851990261161672
first-year,3.5193102555079996
first-year,4
first-year,3.697677835738145
first-year,3.4918440683277576
first-year,3.6643358967823367
first-year,4
first-year,4
first-year,3.4296512563207093
first-year,3.344636026975526
first-year,3.8263361420348585
first-year,3.821974651952588
first-year,3.334836810974017
first-year,3.4822147264624985
first-year,3.9694463674949927
first-year,4
second-year,3.3101772315117772
second-year,3.144805653581243
second-year,3.118558337562859
second-year,3.5498582692740603
second-year,3.2135243335894725
second-year,3.6912455584099786
second-year,4
second-year,3.9533963715705585
second-year,3.3957000537911313
second-year,3.6005718115689707
second-year,3.2042597670414392
second-year,3.5531578107214106
second-year,3.6004136734407672
second-year,3.3265098040932415
second-year,3.618591944270773
second-year,3.3282221140535215
second-year,3.648382910950682
second-year,3.820667308081746
second-year,3.423082040063486
second-year,3.5484646917314064
second-year,3.565068205968047
second-year,3.576179271055148
second-year,3.8760237756700486
second-year,3.2328081573102314
second-year,3.422162398642344
second-year,3.448304951131596
second-year,3.334029560910088
second-year,3.457750464099528
second-year,3.387004012804028
second-year,3.2026710572465342
third-year,3.315864397182825
third-year,3.5891285712108294
third-year,2.721242043559193
third-year,3.180714219001284
third-year,3.010396648101392
third-year,3.4737197212418467
third-year,2.7269287304040883
third-year,2.9556319508017306
third-year,3.1236659138851803
third-year,2.978574820985999
third-year,3.06293109060308
third-year,3.283863595352553
third-year,3.3592283753415706
third-year,3.060121323767693
third-year,2.8727984041432264
third-year,3.058308545269926
third-year,3.158399701238167
third-year,3.1071446128118767
third-year,3.0639867824263014
third-year,3.4117186181719954
fourth-year,2.6972343683264053
fourth-year,3.105869532532269
fourth-year,2.9013036082816086
fourth-year,2.7096491360197734
fourth-year,2.9306133385784365
fourth-year,2.727696171804128
fourth-year,3.04323935050591
fourth-year,3.0393924492861975
fourth-year,3.139008540694136
fourth-year,2.7066742245885913
fourth-year,2.9707600905483234
fourth-year,3.254761306896498
fourth-year,2.918499418666736
fourth-year,3.289130427287065
fourth-year,2.891950143017582
fourth-year,2.9566052633024107
fourth-year,2.7461528077578503
fourth-year,2.8237844192845687
fourth-year,3.248620581074973
fourth-year,3.1945888127421047
