person	scores
Darc	250
Darc	230
Darc	170
Darc	250
Darc	200
Darc	110
Darc	190
Darc	90
Darc	240
Darc	220
Darc	220
Darc	230
Darc	190
Darc	210
Darc	270
Darc	200
Darc	320
Darc	70
Darc	250
Darc	270
Darc	210
Darc	190
Darc	310
Darc	220
Darc	270
Darc	260
Darc	260
Darc	220
Darc	180
Darc	220
Darc	260
Darc	250
Darc	140
Darc	130
Darc	80
Darc	100
Darc	200
Darc	170
Darc	150
Darc	160
Darc	150
Darc	300
Darc	320
Darc	110
Darc	0
Darc	230
Darc	130
Darc	240
Darc	190
Darc	130
Darc	150
Darc	300
Darc	210
Darc	160
Darc	230
Darc	230
Darc	220
Darc	120
Darc	250
Darc	210
Darc	160
Darc	270
Darc	220
Darc	80
Darc	210
Darc	210
Darc	130
Darc	280
Darc	250
Darc	10
Darc	260
Darc	10
Darc	220
Darc	210
Darc	240
Darc	320
Darc	250
Darc	170
Darc	180
Darc	240
Darc	170
Darc	320
Darc	150
Darc	80
Darc	100
Darc	190
Darc	190
Darc	260
Darc	290
Darc	210
Darc	170
Darc	100
Darc	330
Darc	210
Darc	210
Darc	250
Darc	290
Darc	150
Darc	210
Darc	120
Darc	160
Darc	330
Darc	170
Darc	240
Darc	210
Darc	260
Darc	110
Darc	200
Darc	280
Darc	230
Darc	200
Darc	260
Darc	320
Darc	180
Darc	280
Darc	110
Darc	40
Darc	20
Darc	270
Darc	230
Darc	130
Darc	280
Darc	130
Darc	120
Darc	140
Darc	260
Darc	230
Darc	290
Darc	240
Darc	130
Darc	260
Darc	240
Darc	210
Darc	120
Darc	250
Darc	140
Darc	270
Darc	160
Darc	220
Darc	200
Darc	150
Darc	200
Darc	190
Darc	180
Darc	330
Darc	140
Darc	240
Darc	250
Darc	140
Darc	300
Darc	100
Darc	150
Darc	290
Darc	180
Darc	220
Darc	100
Darc	130
Darc	190
Darc	220
Darc	70
Darc	240
Darc	150
Darc	300
Darc	230
Darc	120
Darc	60
Darc	360
Darc	0
Darc	270
Darc	260
Darc	170
Darc	110
Darc	150
Darc	180
Darc	130
Darc	160
Darc	100
Darc	210
Darc	130
Darc	130
Darc	250
Darc	380
Darc	0
Darc	250
Darc	180
Darc	270
Darc	100
Darc	260
Darc	230
Darc	220
Darc	250
Darc	130
Darc	160
Darc	170
Darc	240
Darc	160
Darc	50
Darc	280
Darc	90
Darc	290
Darc	220
Darc	180
Darc	450
