price	year	manufacturer	condition	cylinders	odometer	transmission	state	fuel	size
6999	2013	mazda	excellent	4 cylinders	118957	automatic	fl	gas	full-size
22988	2014	ford	excellent	8 cylinders	198850	automatic	tn	gas	full-size
6500	2009	jeep	excellent	6 cylinders	93000	automatic	nm	gas	full-size
1800	1998	chrysler	good	6 cylinders	196000	automatic	id	gas	full-size
13999	2016	volkswagen	good	4 cylinders	74300	automatic	tn	gas	mid-size
26895	2016	rover	excellent	6 cylinders	102137	automatic	mi	gas	full-size
16500	2005	bmw	excellent	8 cylinders	55000	automatic	pa	gas	mid-size
1000	2003	ford	good	8 cylinders	140000	automatic	ga	gas	full-size
5500	2008	subaru	excellent	4 cylinders	214915	manual	co	gas	full-size
14500	2013	chevrolet	excellent	6 cylinders	60869	manual	mi	gas	mid-size
21000	2016	ford	like new	6 cylinders	45000	automatic	oh	gas	full-size
9500	2012	gmc	good	8 cylinders	189015	automatic	tx	gas	full-size
25000	2016	mercedes-benz	excellent	6 cylinders	59000	automatic	ca	gas	full-size
21990	2016	volkswagen	like new	4 cylinders	42000	automatic	nc	gas	compact
6400	2006	ford	good	8 cylinders	65500	automatic	oh	gas	full-size
16800	2016	audi	good	4 cylinders	60800	automatic	wi	gas	mid-size
15499	2003	chevrolet	good	8 cylinders	94950	automatic	fl	gas	full-size
29290	2012	porsche	excellent	8 cylinders	117390	automatic	fl	gas	compact
1	2014	bmw	excellent	8 cylinders	59964	other	fl	gas	compact
8950	2010	toyota	excellent	4 cylinders	157311	automatic	ak	gas	compact
32000	2017	ford	excellent	8 cylinders	42000	manual	or	gas	full-size
6999	2013	nissan	excellent	4 cylinders	105000	automatic	nj	gas	full-size
16900	2018	toyota	like new	6 cylinders	149423	automatic	ny	gas	full-size
21995	2013	gmc	excellent	8 cylinders	65872	automatic	fl	gas	full-size
14900	2007	chevrolet	excellent	8 cylinders	146000	automatic	ar	gas	full-size
1800	1988	toyota	fair	4 cylinders	298000	manual	ca	gas	compact
6950	2005	ram	good	8 cylinders	184777	automatic	il	gas	full-size
19995	2012	ford	good	6 cylinders	99000	automatic	or	gas	full-size
11950	2010	gmc	excellent	8 cylinders	166763	automatic	mi	gas	full-size
9995	2010	dodge	good	8 cylinders	77000	automatic	me	gas	full-size
15995	2007	jeep	excellent	6 cylinders	141000	automatic	ca	gas	full-size
21500	2008	chevrolet	excellent	8 cylinders	332000	automatic	mi	diesel	full-size
26757	2016	chevrolet	excellent	6 cylinders	59375	automatic	oh	gas	compact
