class	social_media
first-year	2.5804346893513337
first-year	3.3264501209769652
second-year	1.937860030813747
first-year	2.777118464831992
third-year	0.7761469482753751
first-year	3.075905305606343
third-year	1.1094153057011795
third-year	0.9687749676824712
first-year	3.279506509411692
second-year	2.087915904249473
second-year	1.7540180031207853
third-year	1.2438201545905454
third-year	0.994962123402478
first-year	2.9815510355985344
second-year	2.110418392237949
second-year	2.148224827696911
first-year	3.261389149060591
first-year	2.7955104225249983
first-year	2.668048239323133
first-year	3.329531358242377
fourth-year	1.0564824714834151
second-year	1.9797029284119885
second-year	1.7454162424289907
second-year	2.1089862828257013
first-year	3.2170160811117903
third-year	1.0727699216648152
second-year	1.9741233821278628
second-year	2.0874561069764943
third-year	0.8877183159211545
second-year	1.5940457679460112
third-year	1.0468724916160448
first-year	2.509589654607898
fourth-year	0.8874612632149974
first-year	3.059379754569166
third-year	1.0898693568267408
first-year	2.3154614882749724
first-year	2.853051499516023
third-year	0.9284502368272868
second-year	2.1948396142669075
second-year	2.083795900784009
first-year	3.0220086791500527
first-year	2.9365233650896183
third-year	0.8600390752639554
third-year	1.185550093784326
second-year	1.9325770020572075
first-year	3.237915227227615
first-year	2.514267187104571
first-year	3.1836796641183844
fourth-year	1.1053659664258624
second-year	1.9336381527440516
third-year	0.990475535279332
third-year	0.7015412660567113
fourth-year	1.174376630518606
third-year	1.007991428160331
third-year	0.6001434194763919
third-year	1.0689104771067914
second-year	2.287692401424868
third-year	1.2978125043443485
fourth-year	1.1560730356936313
third-year	0.7336827341450314
third-year	1.0058662579235114
third-year	1.0570632066572698
fourth-year	1.1157958685138374
first-year	3.117781540703316
third-year	1.1788772730864052
first-year	3.474348520441108
third-year	1.2135807628988695
first-year	3.2683243408230687
second-year	1.412312302738847
third-year	0.9896994013361328
third-year	1.0722940799135303
second-year	1.850459600316372
third-year	0.8195157568817091
first-year	3.186817896001884
third-year	1.0670052663491691
third-year	0.8124442237196925
first-year	3.2099838956887665
first-year	2.879379411834301
first-year	3.1185494856052305
third-year	0.7941408900039579
first-year	3.0398327361778046
second-year	2.1130956314964666
first-year	2.711326790148038
fourth-year	0.8176695689404498
second-year	2.156061251662095
third-year	0.955689491105969
third-year	0.9803516147915138
third-year	0.9058159430362428
third-year	0.8881116747891915
first-year	3.1066897135331004
first-year	2.887287769143315
fourth-year	0.976836799392948
second-year	1.4692671692261887
first-year	2.907515986141324
first-year	2.6943000400372616
second-year	2.4593970502931333
second-year	2.0429433229438607
second-year	1.6592064711774992
first-year	2.5241844489884993
fourth-year	0.7891776103320203
