class	social_media
first-year	3.1133559012435055
first-year	2.9333770934416696
first-year	2.8019937982805927
first-year	3.211087874350142
first-year	2.641221616543667
first-year	3.4004770709114966
first-year	2.863360875323843
first-year	3.312345946753398
first-year	2.4342233820419983
first-year	2.994730563158328
first-year	3.2021392709344267
first-year	3.2601976124581
first-year	3.226940629674119
first-year	2.9721902610774364
first-year	2.814992206487154
first-year	3.697929558997027
first-year	2.4158328441367747
first-year	3.024037022041534
first-year	3.2088080420604435
first-year	3.330937932064058
first-year	2.8560901310588735
first-year	2.953878925121861
first-year	2.8031410253869535
first-year	2.8958295068521145
first-year	2.9836412336979716
first-year	3.2134388705771593
first-year	2.9441351483418043
first-year	3.1667408190835937
first-year	3.3282214091403626
first-year	2.637202979854636
first-year	3.3020593605996185
first-year	2.9257353180280776
first-year	2.8381445617904606
first-year	2.8836318741831692
first-year	3.0932488984911264
first-year	2.5311426231547665
first-year	2.7791710136627894
first-year	2.8727572267911454
first-year	3.432037613814701
first-year	2.783676235873303
second-year	1.5958783236651364
second-year	2.0074466159517192
second-year	2.2285321399113585
second-year	1.9511403088502357
second-year	2.299188232353676
second-year	1.9584850401741565
second-year	1.965563487433763
second-year	2.080461167817961
second-year	1.863687554782968
second-year	2.0050626202784083
second-year	2.389662091081182
second-year	2.313431177909525
second-year	2.384759442162085
second-year	2.426255249553483
second-year	1.7210973634679865
second-year	1.6940169400178429
second-year	1.827065448919425
second-year	1.6803028710095356
second-year	1.8720688817825393
second-year	2.189657540082965
second-year	1.86872440217323
second-year	2.0814626897794097
second-year	1.728373844207315
second-year	2.142476911198414
second-year	2.202596697273062
second-year	1.7585150299646488
second-year	1.817428158609947
second-year	2.1689153184740646
second-year	1.4672215044020842
second-year	2.046569532681477
third-year	0.8393629782044494
third-year	1.1054848525284702
third-year	1.2072355241509516
third-year	1.0808669986847097
third-year	0.8557941621126302
third-year	0.9389182582597512
third-year	0.937000529084752
third-year	1.4198063924459188
third-year	1.2154638038456764
third-year	1.0355009895419087
third-year	1.0427210118875172
third-year	1.0487355920224586
third-year	1.0280412988143746
third-year	1.0890500524303923
third-year	1.4430663603703349
third-year	1.1100055336874597
third-year	0.6916387127999144
third-year	1.024905218477271
third-year	0.8849964123858474
third-year	1.364663329157588
fourth-year	0.8757415628651573
fourth-year	1.0840231767729978
fourth-year	1.1993402647784177
fourth-year	0.9423977741687573
fourth-year	0.9776687624934438
fourth-year	0.8463284769190229
fourth-year	0.759136119332753
fourth-year	1.0233268825003736
fourth-year	0.85979388940817
fourth-year	0.973673681464802
