day_hour	treats	age
20	49	135
16	44	285
21	50	166
13	38	262
16	49	105
18	31	364
7	21	587
7	49	83
22	45	153
20	35	373
18	53	161
22	49	134
7	31	356
9	13	648
9	28	458
16	36	331
20	54	64
7	43	261
8	42	226
8	52	53
11	16	664
9	11	705
11	55	107
10	28	462
15	47	184
14	28	462
21	27	503
18	46	212
19	44	281
11	32	355
8	49	124
18	50	163
20	8	699
12	14	624
11	31	340
10	29	441
21	34	316
13	11	670
15	43	199
11	19	582
14	44	259
9	22	514
14	51	84
9	58	48
21	28	413
9	12	652
19	52	80
8	50	130
8	49	38
14	26	393
7	36	276
21	9	747
18	40	298
9	8	728
9	30	381
13	9	754
9	15	679
21	37	257
17	28	444
12	24	467
13	10	706
19	58	57
7	41	226
19	53	71
20	13	704
6	32	414
8	33	384
10	21	483
19	31	334
10	9	718
10	36	264
17	17	606
12	44	159
20	13	687
17	43	158
19	34	338
16	25	436
16	5	730
10	53	108
7	43	195
12	20	494
18	54	32
9	58	68
8	9	737
14	37	322
8	52	19
12	25	459
10	15	607
18	52	36
10	52	39
11	42	284
20	9	729
7	34	336
10	46	206
12	30	320
22	50	85
19	41	216
19	22	490
20	9	739
11	39	242
19	18	579
9	35	264
22	13	641
16	39	230
9	11	700
13	26	421
20	30	428
22	21	546
12	51	56
8	42	132
20	30	315
20	51	73
21	33	378
11	9	718
7	29	465
22	50	70
7	58	12
16	-0	733
21	49	170
14	44	238
9	49	129
15	27	453
19	14	593
20	32	315
21	6	736
13	24	513
11	10	695
20	32	425
10	18	584
21	47	110
14	36	313
15	27	473
8	12	647
19	36	278
21	12	702
10	27	537
10	56	53
7	36	224
9	21	581
15	32	402
18	19	570
12	6	740
15	34	341
19	43	268
19	50	148
19	41	193
20	20	629
10	21	437
10	36	327
8	33	340
15	16	579
17	46	142
18	47	54
10	44	190
20	9	732
14	8	704
17	42	129
14	10	677
17	36	358
9	28	419
22	45	180
9	47	204
9	5	753
19	15	651
9	40	131
20	32	418
22	48	132
8	35	322
13	34	253
10	18	602
9	51	74
12	15	585
20	22	501
17	35	407
11	39	243
22	18	580
16	46	115
10	36	377
11	10	626
15	42	245
14	38	321
9	12	718
8	55	15
21	56	29
6	47	90
14	30	393
15	15	646
18	41	224
16	11	680
11	42	246
14	23	475
22	29	388
13	12	689
19	50	131
16	36	309
16	20	559
13	27	448
21	46	151
13	27	496
19	11	681
21	36	341
10	40	232
16	52	91
12	15	665
10	57	58
7	22	471
12	55	29
16	54	11
21	44	203
12	8	703
13	13	685
18	15	711
14	30	485
13	46	260
15	56	65
15	13	668
8	29	442
18	19	566
7	51	42
14	18	610
18	48	43
14	54	48
17	48	45
7	50	63
13	28	537
9	54	73
15	23	510
14	13	632
16	35	323
20	23	511
9	11	670
10	8	726
20	19	513
18	54	95
9	49	96
17	46	121
14	9	694
6	21	557
6	23	519
15	52	98
19	40	193
12	32	325
21	32	347
14	33	330
15	26	455
21	14	613
15	55	35
7	41	160
15	40	290
19	21	446
11	7	665
7	20	598
14	33	360
17	22	482
7	47	143
19	12	701
21	54	52
17	32	387
12	33	378
13	36	297
14	49	156
22	29	438
13	32	394
13	46	132
21	50	100
