date_recorded	ice_cream_sales	number_drownings
2023-01-03	645	3
2023-01-04	624	4
2023-01-05	689	3
2023-01-06	591	2
2023-01-10	665	4
2023-01-11	571	4
2023-01-12	529	3
2023-01-13	626	4
2023-01-14	707	2
2023-01-15	592	4
2023-01-17	683	2
2023-01-22	549	3
2023-01-23	657	3
2023-01-24	628	2
2023-01-29	526	2
2023-02-02	665	3
2023-02-04	643	2
2023-02-06	817	3
2023-02-15	733	2
2023-02-16	660	4
2023-02-19	658	3
2023-03-02	718	5
2023-03-04	639	5
2023-03-05	619	2
2023-03-15	696	3
2023-03-22	695	3
2023-03-24	733	6
2023-03-27	791	4
2023-03-29	700	2
2023-03-30	719	3
2023-04-02	885	4
2023-04-04	584	4
2023-04-08	712	4
2023-04-10	820	5
2023-04-11	681	3
2023-04-13	738	5
2023-04-18	705	1
2023-04-23	589	3
2023-04-24	668	4
2023-04-28	675	6
2023-05-02	789	4
2023-05-04	865	5
2023-05-06	886	5
2023-05-09	922	5
2023-05-21	981	7
2023-05-26	1010	5
2023-05-29	832	8
2023-06-06	781	4
2023-06-10	931	3
2023-06-12	841	5
2023-06-16	802	6
2023-06-19	857	5
2023-06-27	947	2
2023-06-28	856	5
2023-06-29	928	7
2023-06-30	1014	6
2023-07-02	956	6
2023-07-07	925	5
2023-07-10	888	5
2023-07-12	982	5
2023-08-03	972	6
2023-08-06	925	5
2023-08-08	956	4
2023-08-10	993	3
2023-08-27	970	3
2023-09-02	819	2
2023-09-08	731	5
2023-09-09	593	6
2023-09-10	758	4
2023-09-12	890	4
2023-09-15	820	3
2023-09-16	822	4
2023-09-18	701	4
2023-09-20	902	3
2023-09-26	692	2
2023-10-02	714	4
2023-10-09	638	4
2023-10-17	744	4
2023-10-18	872	7
2023-10-19	694	3
2023-10-24	826	4
2023-10-25	826	4
2023-10-27	847	7
2023-10-31	714	4
2023-11-02	743	4
2023-11-09	826	4
2023-11-17	697	3
2023-11-18	904	4
2023-11-22	803	4
2023-11-26	761	2
2023-12-02	585	2
2023-12-07	555	1
2023-12-12	631	3
2023-12-14	599	3
2023-12-17	488	1
2023-12-18	461	2
2023-12-20	666	5
2023-12-21	636	3
2023-12-23	583	4
2023-12-30	597	2
