treatment	session_duration	purchase
pizza	3.26805371	1
pizza	6.435498215	0
pizza	6.327477947	1
pizza	4.821402341	1
pizza	2.153074809	1
pizza	4.941264559	0
pizza	5.365703512	1
pizza	5.088735119	0
pizza	3.714986097	1
pizza	3.039681666	1
pizza	3.275081982	1
pizza	3.723860041	1
pizza	4.098582778	0
pizza	2.920141233	1
pizza	5.5097821830000004	0
pizza	5.119247471	1
pizza	5.682140574	1
pizza	5.441612652	1
pizza	4.28088589	0
pizza	1.689620027	0
pizza	4.968106933	0
pizza	5.9823475759999996	1
pizza	3.181721823	1
pizza	3.470938341	1
pizza	3.815766892	0
pizza	4.011747525	0
pizza	3.237112221	1
pizza	2.334911302	0
pizza	5.81291034	0
pizza	3.538805713	1
pizza	6.008365281	1
pizza	5.40869565	1
pizza	3.920111433	0
pizza	3.506251863	1
pizza	5.056640796	1
pizza	3.184644972	1
pizza	2.127088919	1
pizza	5.417986005	0
pizza	3.997490358	1
pizza	4.581419142	1
pizza	3.613240751	1
pizza	4.701825228	1
pizza	2.625542797	0
pizza	4.555934942	0
pizza	5.160380657	1
pizza	3.908167104	0
pizza	5.078548095	0
pizza	3.963720929	1
pizza	4.149878451	1
pizza	5.282146742	1
pizza	4.2093795	0
pizza	3.112542362	1
pizza	2.280518706	1
pizza	6.694750027	1
pizza	4.403096221	0
pizza	8.12777915	1
pizza	4.921535447	1
pizza	3.156520894	1
pizza	3.987329557	1
pizza	2.477601508	1
pizza	4.388278875	0
pizza	3.989436093	0
pizza	4.280540977	1
pizza	3.318007853	0
pizza	6.293127301	1
pizza	5.42424964	0
pizza	3.839376931	1
pizza	5.119323135	0
pizza	4.688631184	0
pizza	5.94109118	0
pizza	3.716716657	0
pizza	5.208632054	1
pizza	6.377981334	0
pizza	2.943955496	1
pizza	6.119181666	0
pizza	5.300104913	0
pizza	6.930684719	0
pizza	5.059697133	1
pizza	2.450738983	1
pizza	4.522393596	1
pizza	5.820790498	0
pizza	5.441130837	1
pizza	3.068641717	0
pizza	2.8959904930000002	0
pizza	2.624307809	0
pizza	7.289300882	1
pizza	5.328445367	1
pizza	5.666510592	0
pizza	4.771685851	1
pizza	7.119032231	1
pizza	3.255557904	1
pizza	4.205374955	1
pizza	4.208573905	0
pizza	2.002435337	1
pizza	3.590458722	1
pizza	4.692936284	0
pizza	4.953477627	1
pizza	4.379354195	1
pizza	3.987890292	0
pizza	6.460556457	0
pizza	3.846589538	1
pizza	2.644414861	0
pizza	5.321494654	1
pizza	4.055493618	0
pizza	2.501984639	0
pizza	3.687909493	1
pizza	3.474343783	1
pizza	5.014546845	0
pizza	2.176714832	1
pizza	2.839296615	1
pizza	3.721327549	1
pizza	2.948406701	1
pizza	4.080550593	1
pizza	4.271555566	0
pizza	3.688653156	1
pizza	3.491269346	0
pizza	3.080386347	1
pizza	7.947226133	1
pizza	4.193175288	1
pizza	7.060303525	1
pizza	4.02110271	0
pizza	2.872647466	1
pizza	3.791815031	1
pizza	5.827058929	1
pizza	3.275046756	0
pizza	3.615859432	0
pizza	4.838534951	0
pizza	3.811486726	0
pizza	7.115258383	1
pizza	5.437175857	0
pizza	5.32248201	1
pizza	3.381631547	0
pizza	2.281198326	1
pizza	2.77409575	0
pizza	8.41797235	1
pizza	4.329194585	1
pizza	4.890974861	0
pizza	4.05010896	0
