a	b
38.13304452	30.71602491
62.7516337	31.01301473
52.20521423	40.81524098
49.15526133	34.23937842
46.66912284	43.84004804
41.34617227	15.03124515
49.69163623	49.52203021
49.61870908	38.92514488
48.05455911	6.191124319
40.60144591	45.04068969
42.60115691	15.67690295
46.00663246	22.86221902
28.73921505	37.815888
47.62542671	32.4442197
47.65154363	16.03938337
34.54589873	35.67223556
49.69447066	30.79793703
30.40683146	41.11497436
43.84536649	40.13492551
37.71856284	32.35306996
46.84211654	30.82071102
41.16508504	39.3205218
31.30784465	35.54444498
38.94258395	26.33483289
35.08097756	42.56651394
36.37224601	26.88235528
48.84279871	28.23894609
60.90033527	43.5265029
47.31245365	45.5485783
40.31349841	33.13980424
60.32988054	27.56977819
25.62184473	34.16651452
53.75309131	47.04446721
47.73129189	32.99123293
48.11713533	41.70683616
39.53809241	24.6806016
50.24458452	34.0126139
36.59523867	36.234218920000004
36.10714272	26.25844103
51.99675641	52.86593463
33.93915208	36.19881077
43.52192894	42.22062746
30.05016438	40.89988395
35.79474917	38.39361716
35.63345026	39.93270301
56.438245619999996	15.06371189
36.64034343	21.92938357
44.38553015	19.17748375
56.93568143	0.435546182
46.07156481	23.48029659
