number_of_courses	gpa	daily_sleep_hr	avg_course_difficulty	daily_fruit_veg
4	4.415	5	2.4	2
3	4.245	9	2.8	3
6	3.665	4	4.4	1
5	4.095	8	4.6	4
6	3.715	6	4.5	1
5	3.915	4	3.6	2
4	4.365	9	3.1	2
5	4.145	8	4.3	3
5	4.215	7	3.7	3
6	3.285	5	3.8	1
5	3.465	3	3.9	0
5	4.365	9	4.2	2
3	4.355	6	2.2	5
7	3.665	4	4.7	1
4	4.115	7	2.8	3
5	4.275	6	3.7	4
5	4.335	9	4.3	3
3	4.365	6	3	2
4	4.235	7	3.8	1
7	3.565	4	4.8	0
6	4.055	8	4.1	1
6	3.385	3	4.3	3
3	4.395	10	1.7	4
4	4.415	8	3.7	3
6	3.915	8	4.6	2
5	4.075	8	4	1
6	3.555	9	4.9	1
4	4.265	8	3.3	1
4	4.215	7	3.5	2
5	4.065	7	3.9	1
3	3.585	5	1.5	3
6	3.965	6	4.2	2
6	4.335	9	4.5	2
7	3.675	6	4.5	0
6	3.365	10	4.7	1
5	3.415	6	3.7	3
4	4.215	8	3.1	3
7	3.565	4	4.9	2
6	3.855	7	3.8	2
3	4.335	8	2.7	3
7	3.755	3	4.5	0
6	3.315	6	4.4	1
6	3.915	2	3.9	1
3	4.195	8	3.2	1
5	4.365	7	3.6	2
4	3.965	7	2.8	3
3	4.125	9	2.4	3
6	3.765	6	4.6	2
5	4.465	7	3.8	4
6	3.875	6	4.5	1
5	4.075	7	2.6	1
5	3.795	4	3.2	1
4	4.345	4	3.5	1
7	3.475	6	4.2	0
3	4.105	7	1.8	2
4	3.875	5	2.1	2
6	3.565	5	3.7	0
5	3.915	4	3.6	1
