id,cat1,cat2,cat3,cat4,q1,q2,q3,q4
149,C,type_2,Y,100,38.53834524,37.26519629,0.42884482,17.77808285
183,B,type_2,Z,300,46.42900131,30.12804728,3.836619873,25.03888859
179,B,type_3,Z,300,64.22713697,39.31594886,9.781124217,50.08811101
88,B,type_1,Z,300,58.77812262,7.675680288,5.497102489,32.82524241
65,B,type_3,Z,300,73.32258719,40.72963292,8.848118936,52.64435022
66,C,type_2,Y,100,85.56465214,36.16908093,4.528555796,52.68999676
181,A,type_2,Z,200,54.17433182,27.2972653,9.306554571,31.77016688
97,C,type_2,Z,200,95.94195926,12.9858257,0.299145447,57.47974355
169,A,type_1,Z,300,28.11355904,4.883710249,7.19450111,11.23647183
25,C,type_1,X,200,6.675679865,24.24166585,9.553578884,12.54411169
57,A,type_3,X,200,38.43537323,7.231077954,4.695667321,15.70735988
200,A,type_2,Z,200,96.40929428,38.08865836,2.53855047,62.52952189
173,C,type_1,Y,200,76.39333645,46.22794666,6.515042223,58.27337821
16,B,type_2,Y,200,19.68919899,41.01606518,3.819740829,17.47971581
26,C,type_3,X,100,97.97056371,16.52294547,3.3854227,51.43859024
10,B,type_3,X,100,70.24173403,7.300217432,3.573878677,33.49002092
116,C,type_1,Y,100,79.92359261,0.395662664,4.116694213,41.85484927
12,A,type_3,X,200,5.386910419,33.18290659,4.508951992,9.63666626
80,B,type_1,X,100,72.26574153,9.380603961,1.66704667,41.61064243
58,A,type_2,Z,200,48.36263058,35.82771621,6.762737585,34.69365577
113,A,type_1,Y,200,79.49263177,28.77164072,8.401980906,43.10949417
72,A,type_3,Z,100,71.60577123,23.50087415,7.342920781,46.60349041
170,C,type_2,X,300,17.64187614,38.37696208,4.19585269,22.65420348
33,A,type_3,X,200,91.87200485,49.05331115,1.66136375,53.38437717
84,C,type_2,X,200,57.77064629,6.429707247,7.118192125,35.20388504
2,B,type_2,X,100,38.57261105,27.5259344,0.526592133,22.66633679
62,A,type_2,Y,200,22.77063972,15.66114427,5.019463732,16.12066243
36,B,type_2,Y,200,78.35391952,1.397769011,9.497960346,37.53043023
190,B,type_3,Y,200,97.07023908,1.467313346,3.514955562,53.21486165
185,C,type_1,Y,100,73.55203736,28.88110023,7.336739852,43.83179108
79,B,type_2,Z,300,60.98636152,4.14577216,9.347065805,30.47406197
70,C,type_3,Z,300,95.03362099,2.196413114,1.161707542,54.35757976
165,C,type_3,Z,100,71.15716001,8.643926686,6.09150817,42.58341561
198,B,type_3,X,200,45.64726478,22.99323401,5.631488707,36.41740261
67,B,type_1,Y,300,32.16538414,25.03838297,4.935828096,26.51098901
106,B,type_3,Y,100,18.87053662,45.76332599,5.110538996,29.60399159
186,C,type_3,Y,100,87.36807502,20.98345921,3.987876096,50.00396982
46,C,type_1,Z,200,72.28892195,5.388940704,1.356928483,41.88670064
63,B,type_3,X,200,97.80789136,11.54579622,2.101208285,52.2776098
44,C,type_3,X,100,7.520338075,47.27043431,0.563715366,22.8657244
100,B,type_1,X,100,31.47240583,29.75760191,8.311042618,25.67451264
3,C,type_1,Z,100,40.6462542,17.76713081,0.152053114,33.20366529
78,C,type_1,Y,300,96.25423516,44.6355759,2.271855804,58.94842074
53,A,type_2,Z,200,59.07865838,15.02871031,8.424602119,44.58556312
59,A,type_1,Y,100,68.0083784,44.05473501,9.160233696,56.7415839
34,B,type_2,X,200,27.08623687,6.056686631,3.234780785,9.998600641
22,A,type_2,Y,300,25.74883065,46.91146786,6.827553511,31.22482863
199,C,type_1,X,100,34.27717163,46.88431787,0.26493262,23.50861308
